#  Posterior distribution for f, given N = 10.0 radio-detected PBHs. PBH Mass: 100M_sun
# M_sunPrior: jeffreys
#  Columns: f, P(f|N)
# 
9.999999999999999547e-07 1.943631107372756572e+00
1.013925407558814200e-06 1.971384891070753653e+00
1.028044732093309784e-06 1.999713460861728187e+00
1.042360673976401061e-06 2.028632292906907608e+00
1.056875971184804981e-06 2.058157357386341868e+00
1.071593399822671139e-06 2.088305136385282701e+00
1.086515774652537176e-06 2.119092642549381011e+00
1.101645949633656974e-06 2.150537438516316069e+00
1.116986818467822540e-06 2.182657657059809075e+00
1.132541315152812586e-06 2.215472022104682193e+00
1.148312414543511196e-06 2.248999870633058507e+00
1.164303132920875528e-06 2.283261175457820258e+00
1.180516528568805485e-06 2.318276568922236436e+00
1.196955702359042833e-06 2.354067367582991288e+00
1.213623798344241863e-06 2.390655597945093636e+00
1.230524004359261563e-06 2.428064023278571515e+00
1.247659552630868398e-06 2.466316171520753109e+00
1.265033720395903716e-06 2.505436364343199607e+00
1.282649830528059960e-06 2.545449747511305372e+00
1.300511252173409911e-06 2.586382322471932227e+00
1.318621401394748467e-06 2.628260979260357733e+00
1.336983741824945150e-06 2.671113530930135038e+00
1.355601785329368979e-06 2.714968749305819440e+00
1.374479092677536677e-06 2.759856402376438478e+00
1.393619274224143468e-06 2.805807293248775647e+00
1.413025990599533632e-06 2.852853300818745996e+00
1.432702953409829350e-06 2.901027422195654015e+00
1.452653925946781160e-06 2.950363816972413122e+00
1.472882723907501804e-06 3.000897853446989672e+00
1.493393216124253301e-06 3.052666156853061974e+00
1.514189325304352035e-06 3.105706659744066123e+00
1.535275028780421201e-06 3.160058654581607840e+00
1.556654359271061967e-06 3.215762848676287256e+00
1.578331405652116571e-06 3.272861421586510389e+00
1.600310313738701654e-06 3.331398085043907997e+00
1.622595287078087214e-06 3.391418145591440947e+00
1.645190587753660682e-06 3.452968570119949732e+00
1.668100537200059127e-06 3.516098054233601555e+00
1.691329517029647040e-06 3.580857093789095114e+00
1.714881969870540874e-06 3.647298059721807206e+00
1.738762400216250434e-06 3.715475276249865288e+00
1.762975375287203917e-06 3.785445102715527810e+00
1.787525525904235397e-06 3.857266019131392554e+00
1.812417547374235695e-06 3.930998715680674493e+00
1.837656200388172474e-06 4.006706186501404865e+00
1.863246311931559818e-06 4.084453827687445582e+00
1.889192776207664423e-06 4.164309539918538583e+00
1.915500555573527830e-06 4.246343835971388536e+00
1.942174681489024486e-06 4.330629953171295732e+00
1.969220255479173340e-06 4.417243971276026748e+00
1.996642450109793374e-06 4.506264935903789848e+00
2.024446509976801877e-06 4.597774987777675904e+00
2.052637752709252226e-06 4.691859498249952409e+00
2.081221569986337122e-06 4.788607211294521271e+00
2.110203428568596572e-06 4.888110392266281856e+00
2.139588871343421664e-06 4.990464983909459029e+00
2.169383518385181950e-06 5.095770769914824250e+00
2.199593068030074676e-06 5.204131546419451304e+00
2.230223297965936432e-06 5.315655301922813436e+00
2.261280066337279372e-06 5.430454405927957140e+00
2.292769312865648563e-06 5.548645806904513478e+00
2.324697059985650290e-06 5.670351240081287436e+00
2.357069413996727979e-06 5.795697445444242035e+00
2.389892566231047836e-06 5.924816396515080186e+00
2.423172794237600507e-06 6.057845540723032940e+00
2.456916462982790237e-06 6.194928051635169020e+00
2.491130026067791046e-06 6.336213093875893598e+00
2.525820026962784695e-06 6.481856101497968758e+00
2.560993100258456944e-06 6.632019070245105397e+00
2.596655972934872394e-06 6.786870864836764383e+00
2.632815465648020122e-06 6.946587541805850030e+00
2.669478494034323617e-06 7.111352688784604581e+00
2.706652070033241224e-06 7.281357781265298534e+00
2.744343303228362398e-06 7.456802557624693684e+00
2.782559402207125977e-06 7.637895413551833990e+00
2.821307675939470909e-06 7.824853816971681475e+00
2.860595535175744707e-06 8.017904744352229329e+00
2.900430493863991580e-06 8.217285139916947756e+00
2.940820170587060722e-06 8.423242398780654838e+00
2.981772290019673234e-06 8.636034875441440661e+00
3.023294684405776334e-06 8.855932419191125504e+00
3.065395295056530018e-06 9.083216937487017972e+00
3.108082173869063814e-06 9.318182989542231454e+00
3.151363484866476280e-06 9.561138411306103535e+00
3.195247505759213607e-06 9.812404973628309435e+00
3.239742629528195378e-06 1.007231907601008203e+01
3.284857366030047033e-06 1.034123247725101002e+01
3.330600343624588548e-06 1.061951306555026164e+01
3.376980310825087979e-06 1.090754567034862710e+01
3.424006137971425541e-06 1.120573291793164294e+01
3.471686818926559579e-06 1.151449613365873681e+01
3.520031472796682339e-06 1.183427629345768040e+01
3.569049345675229473e-06 1.216553502726103630e+01
3.618749812411276882e-06 1.250875567738145477e+01
3.669142378402493899e-06 1.286444441527442173e+01
3.720236681413065725e-06 1.323313141997089915e+01
3.772042493417001451e-06 1.361537212163222677e+01
3.824569722466998750e-06 1.401174851393014364e+01
3.877828414589453094e-06 1.442287053982564338e+01
3.931828755705770305e-06 1.484937755476002863e+01
3.986581073580438997e-06 1.529193987126535959e+01
4.042095839796309714e-06 1.575126039058771532e+01
4.098383671757261184e-06 1.622807632634901154e+01
4.155455334718879651e-06 1.672316102524766279e+01
4.213321743847289341e-06 1.723732589075492783e+01
4.271993966306776970e-06 1.777142241609029938e+01
4.331483223376402566e-06 1.832634433299411825e+01
4.391800892596086187e-06 1.890302988277209550e+01
4.452958509942660131e-06 1.950246421736606450e+01
4.514967772036101769e-06 2.012568193812914785e+01
4.577840538376616169e-06 2.077376978028149423e+01
4.641588833612781958e-06 2.144786945237193976e+01
4.706224849841281354e-06 2.214918063928231007e+01
4.771760948938750521e-06 2.287896417918314995e+01
4.838209664925956952e-06 2.363854542497038835e+01
4.905583706365045857e-06 2.442931780059942426e+01
4.973895958790067320e-06 2.525274656519633254e+01
5.043159487171358525e-06 2.611037279663517907e+01
5.113387538414331605e-06 2.700381760781617757e+01
5.184593543892912765e-06 2.793478661063720381e+01
5.256791122018419569e-06 2.890507464191804843e+01
5.329994080844093235e-06 2.991657076713404706e+01
5.404216420705915271e-06 3.097126357924579310e+01
5.479472336900292930e-06 3.207124681077549155e+01
5.555776222398877724e-06 3.321872527710900158e+01
5.633142670601352205e-06 3.441602117205066236e+01
5.711586478126434863e-06 3.566558073712316457e+01
5.791122647641757912e-06 3.696998132710613305e+01
5.871766390733261702e-06 3.833193889573557556e+01
5.953533130814370033e-06 3.975431592693738025e+01
6.036438506075863713e-06 4.124012983993356585e+01
6.120498372476703066e-06 4.279256189569243674e+01
6.205728806776500758e-06 4.441496663538628553e+01
6.292146109610350494e-06 4.611088188419194722e+01
6.379766808606282652e-06 4.788403935374527975e+01
6.468607661546320942e-06 4.973837587943146588e+01
6.558685659571435694e-06 5.167804533192239091e+01
6.650018030431117999e-06 5.370743124332527429e+01
6.742622241778348883e-06 5.583116019045284872e+01
6.836516004510238809e-06 5.805411598193057188e+01
6.931717276155400522e-06 6.038145469681357724e+01
7.028244264308352554e-06 6.281862062578186823e+01
7.126115430111745365e-06 6.537136317006081754e+01
7.225349491787221566e-06 6.804575475436216436e+01
7.325965428215230423e-06 7.084820981398202377e+01
7.427982482564910469e-06 7.378550492077796719e+01
7.531420165974375663e-06 7.686480011521422284e+01
7.636298261282241959e-06 8.009366151582698024e+01
7.742636826811276894e-06 8.348008528045750154e+01
7.850456200204509316e-06 8.703252299897935984e+01
7.959777002314978321e-06 9.075990860126077564e+01
8.070620141149507638e-06 9.467168686728338400e+01
8.183006815867388940e-06 9.877784363265477907e+01
8.296958520834915102e-06 1.030889377854103230e+02
8.412497049736117495e-06 1.076161351596973219e+02
8.529644499741016815e-06 1.123712444280710514e+02
8.648423275731726255e-06 1.173667551089829715e+02
8.768856094587426870e-06 1.226158778054331577e+02
8.890965989529167165e-06 1.281325867999046579e+02
9.014776314524917239e-06 1.339316651333979280e+02
9.140310748756222539e-06 1.400287522999863086e+02
9.267593301146882451e-06 1.464403947048348300e+02
9.396648314954690500e-06 1.531840990248740866e+02
9.527500472427300024e-06 1.602783886286644872e+02
9.660174799522645609e-06 1.677428632105103645e+02
9.794696670695385670e-06 1.755982618037883185e+02
9.931091813749799848e-06 1.838665293460487931e+02
1.006938631476027116e-05 1.925708869641273679e+02
1.020960662306047607e-05 2.017359061660933151e+02
1.035177955630176194e-05 2.113875871126458037e+02
1.049593230558226690e-05 2.215534411865822051e+02
1.064209244064724650e-05 2.322625780121619812e+02
1.079028791516183681e-05 2.435457971464504112e+02
