#  Posterior distribution for f, given N = 10.0 radio-detected PBHs. PBH Mass: 100M_sun
# M_sunPrior: log-flat
#  Columns: f, P(f|N)
# 
9.999999999999999547e-07 1.361888590480944394e+01
1.013925407558814200e-06 1.371816728108259120e+01
1.028044732093309784e-06 1.381940581311610039e+01
1.042360673976401061e-06 1.392264865393012663e+01
1.056875971184804981e-06 1.402794430557004901e+01
1.071593399822671139e-06 1.413534266355555680e+01
1.086515774652537176e-06 1.424489506340377787e+01
1.101645949633656974e-06 1.435665432885529391e+01
1.116986818467822540e-06 1.447067482156489149e+01
1.132541315152812586e-06 1.458701249303621772e+01
1.148312414543511196e-06 1.470572493839985384e+01
1.164303132920875528e-06 1.482687145212963742e+01
1.180516528568805485e-06 1.495051308615139085e+01
1.196955702359042833e-06 1.507671270979010458e+01
1.213623798344241863e-06 1.520553507222301981e+01
1.230524004359261563e-06 1.533704686763901215e+01
1.247659552630868398e-06 1.547131680243147223e+01
1.265033720395903716e-06 1.560841566500231536e+01
1.282649830528059960e-06 1.574841639873569044e+01
1.300511252173409911e-06 1.589139417757305139e+01
1.318621401394748467e-06 1.603742648431834539e+01
1.336983741824945150e-06 1.618659319255224815e+01
1.355601785329368979e-06 1.633897665121603637e+01
1.374479092677536677e-06 1.649466177289694357e+01
1.393619274224143468e-06 1.665373612569070616e+01
1.413025990599533632e-06 1.681629002843144605e+01
1.432702953409829350e-06 1.698241664995357780e+01
1.452653925946781160e-06 1.715221211233269827e+01
1.472882723907501804e-06 1.732577559816156665e+01
1.493393216124253301e-06 1.750320946250458931e+01
1.514189325304352035e-06 1.768461934893484155e+01
1.535275028780421201e-06 1.787011431053045740e+01
1.556654359271061967e-06 1.805980693616810129e+01
1.578331405652116571e-06 1.825381348147514871e+01
1.600310313738701654e-06 1.845225400530017978e+01
1.622595287078087214e-06 1.865525251208048019e+01
1.645190587753660682e-06 1.886293710005598001e+01
1.668100537200059127e-06 1.907544011557363106e+01
1.691329517029647040e-06 1.929289831369423069e+01
1.714881969870540874e-06 1.951545302590100661e+01
1.738762400216250434e-06 1.974325033479053815e+01
1.762975375287203917e-06 1.997644125586729302e+01
1.787525525904235397e-06 2.021518192752156295e+01
1.812417547374235695e-06 2.045963380852628433e+01
1.837656200388172474e-06 2.070996388459004223e+01
1.863246311931559818e-06 2.096634488345667791e+01
1.889192776207664423e-06 2.122895549926494851e+01
1.915500555573527830e-06 2.149798062679675681e+01
1.942174681489024486e-06 2.177361160539562235e+01
1.969220255479173340e-06 2.205604647417372632e+01
1.996642450109793374e-06 2.234549023815126034e+01
2.024446509976801877e-06 2.264215514567290199e+01
2.052637752709252226e-06 2.294626097841746315e+01
2.081221569986337122e-06 2.325803535435309399e+01
2.110203428568596572e-06 2.357771404357140099e+01
2.139588871343421664e-06 2.390554129876444378e+01
2.169383518385181950e-06 2.424177020000407268e+01
2.199593068030074676e-06 2.458666301505750695e+01
2.230223297965936432e-06 2.494049157637531522e+01
2.261280066337279372e-06 2.530353767414149502e+01
2.292769312865648563e-06 2.567609346783975965e+01
2.324697059985650290e-06 2.605846191646204346e+01
2.357069413996727979e-06 2.645095722792991211e+01
2.389892566231047836e-06 2.685390532924924045e+01
2.423172794237600507e-06 2.726764435847323043e+01
2.456916462982790237e-06 2.769252517899344923e+01
2.491130026067791046e-06 2.812891191749746156e+01
2.525820026962784695e-06 2.857718252721966934e+01
2.560993100258456944e-06 2.903772937704504997e+01
2.596655972934872394e-06 2.951095986828491036e+01
2.632815465648020122e-06 2.999729708031667030e+01
2.669478494034323617e-06 3.049718044639386250e+01
2.706652070033241224e-06 3.101106646132445022e+01
2.744343303228362398e-06 3.153942942260720272e+01
2.782559402207125977e-06 3.208276220681216984e+01
2.821307675939470909e-06 3.264157708276074032e+01
2.860595535175744707e-06 3.321640656346518483e+01
2.900430493863991580e-06 3.380780429913265550e+01
2.940820170587060722e-06 3.441634601257773340e+01
2.981772290019673234e-06 3.504263048014120585e+01
3.023294684405776334e-06 3.568728056000359317e+01
3.065395295056530018e-06 3.635094426962793079e+01
3.108082173869063814e-06 3.703429591665489085e+01
3.151363484866476280e-06 3.773803728432041993e+01
3.195247505759213607e-06 3.846289887458484458e+01
3.239742629528195378e-06 3.920964121339377328e+01
3.284857366030047033e-06 3.997905621900371642e+01
3.330600343624588548e-06 4.077196863803769133e+01
3.376980310825087979e-06 4.158923755329142580e+01
3.424006137971425541e-06 4.243175796595241422e+01
3.471686818926559579e-06 4.330046245654701664e+01
3.520031472796682339e-06 4.419632292893253833e+01
3.569049345675229473e-06 4.512035244182236227e+01
3.618749812411276882e-06 4.607360713175851430e+01
3.669142378402493899e-06 4.705718823333653944e+01
3.720236681413065725e-06 4.807224420172946111e+01
3.772042493417001451e-06 4.911997294202777198e+01
3.824569722466998750e-06 5.020162415170789671e+01
3.877828414589453094e-06 5.131850178322198985e+01
3.931828755705770305e-06 5.247196663146457496e+01
3.986581073580438997e-06 5.366343905357900468e+01
4.042095839796309714e-06 5.489440182882664487e+01
4.098383671757261184e-06 5.616640316504011565e+01
4.155455334718879651e-06 5.748105986004372880e+01
4.213321743847289341e-06 5.884006062649358881e+01
4.271993966306776970e-06 6.024516958920592202e+01
4.331483223376402566e-06 6.169822996344660027e+01
4.391800892596086187e-06 6.320116792439042541e+01
4.452958509942660131e-06 6.475599667913269286e+01
4.514967772036101769e-06 6.636482075075231535e+01
4.577840538376616169e-06 6.802984048652533033e+01
4.641588833612781958e-06 6.975335680333748201e+01
4.706224849841281354e-06 7.153777618161369389e+01
4.771760948938750521e-06 7.338561592257298116e+01
4.838209664925956952e-06 7.529950968319857907e+01
4.905583706365045857e-06 7.728221330249066057e+01
4.973895958790067320e-06 7.933661093737788406e+01
5.043159487171358525e-06 8.146572152370509912e+01
5.113387538414331605e-06 8.367270557933368025e+01
5.184593543892912765e-06 8.596087237000335790e+01
5.256791122018419569e-06 8.833368745662879462e+01
5.329994080844093235e-06 9.079478064466107412e+01
5.404216420705915271e-06 9.334795435789888529e+01
5.479472336900292930e-06 9.599719246063710898e+01
5.555776222398877724e-06 9.874666955092236265e+01
5.633142670601352205e-06 1.016007607515527837e+02
5.711586478126434863e-06 1.045640520261802919e+02
5.791122647641757912e-06 1.076413510496155936e+02
5.871766390733261702e-06 1.108376986619708191e+02
5.953533130814370033e-06 1.141583809339835938e+02
6.036438506075863713e-06 1.176089418856979023e+02
6.120498372476703066e-06 1.211951968874549834e+02
6.205728806776500758e-06 1.249232467784489273e+02
6.292146109610350494e-06 1.287994927502088558e+02
6.379766808606282652e-06 1.328306520243477564e+02
6.468607661546320942e-06 1.370237743754505004e+02
6.558685659571435694e-06 1.413862595444055898e+02
6.650018030431117999e-06 1.459258755830026928e+02
